"Player","pass_completion","KP","Min"
"Jean-Clair Todibo","87.9","2","1825"
"Juan Cruz","68.2","24","2257"
"Yankuba Minteh","62.5","29","1838"
"Boubacar Kamara","88.6","11","1726"
"Soungoutou Magassa","84.6","7","1025"
"Carlos Romero","71.4","29","2554"
"Anthony Rouault","90","6","1212"
"Ezri Konsa","92.9","6","2936"
"Ferr?n Torres","74.2","19","1106"
"Aitor Paredes","83.3","2","1812"
"Domingos Andr? Ribeiro Almeida","84.3","43","1977"
"Kike P?rez","74.8","16","1114"
"Waren Kamanzi","83","12","1022"
"Nicol? Casale","87.5","3","900"
"Kenny Lala","76.1","41","2686"
"Cristian C?sseres Jr.","78.8","27","2696"
"Bojan Miovski","76.1","4","869"
"Pascal Gro?","80.7","57","2327"
"Julien Le Cardinal","86.4","5","1378"
"Carmona","80.5","19","2942"
"Alessandro Bastoni","88.4","27","2333"
"Marc Gu?hi","83.5","16","3059"
"Zinedine Ferhat","67.2","17","849"
"Nikola Vla?i?","79.8","32","2117"
"Eren Dink?i","75.4","23","1196"
"Dominik Kohr","81.1","11","2295"
"Lukas Klostermann","88.4","2","1838"
"Sirlord Conteh","70.5","14","892"
"Santiago Pierotti","71.3","25","1937"
"Evanilson","71.3","26","2319"
"Djed Spence","85.4","11","1792"
"Osame Sahraoui","83.9","29","1293"
"Maduka Okoye","77.6","0","2250"
"Gleison Bremer","92.9","0","540"
"Ra?l Asencio","93.8","6","1670"
"Silv?re Ganvoula M'Boussy","61.7","1","326"
"Nemanja Gudelj","86.9","14","2493"
"Sebastian Nanasi","79.2","37","2107"
"Kylian Mbapp?","82.9","51","2907"
"Ben Old","74","9","528"
"Kevin Kampl","89","16","1593"
"Ram?n Terrats","64.8","16","1219"
"Magnus Knudsen","84","8","1850"
"Kassoum Ouattara","79.3","6","391"
"Kevin Zeroli","74","2","395"
"Fabio Carvalho","70.8","4","455"
"Pau Torres","88.9","3","2020"
"Luke Thomas","78.4","9","1110"
"?lvaro Morata","75.4","7","1099"
"Andr? Onana","72.6","1","3060"
"Dailon Livramento","53.9","8","940"
"Jo?o F?lix","85.9","6","369"
"Lucas Da Cunha","84.5","55","2613"
"Tom Rothe","68.1","12","1670"
"Amin Sarr","70","22","1907"
"Kyle Walker","87.7","7","970"
"Silvan Widmer","74","2","504"
"Tyrone Mings","88.2","3","1120"
"Adam Obert","76.9","10","1077"
"Andriy Lunin","86.1","1","630"
"Becir Omeragic","92.1","3","1799"
"Jurgen Ekkelenkamp","79.7","15","1892"
"Yunus Musah","87.2","23","1571"
"Andrey Santos","88.2","27","2855"
"Ben Brereton","77.1","3","449"
"Lukas K?bler","77.1","11","1842"
"Atakan Karazor","86.6","15","2618"
"Antonio Sanabria","78.4","9","1318"
"Davide Zappacosta","82.7","23","2067"
"Mart?n Zubimendi","83.6","19","2962"
"Beno?t Badiashile","89.8","0","334"
"Yannik Engelhardt","88.7","12","1164"
"Angeli?o","78.4","50","3177"
"Juli?n Malatini","86.4","2","454"
"Joachim Andersen","82.7","4","2583"
"Eldor Shomurodov","75.2","17","1097"
"Derrick K?hn","79.3","16","1343"
"Dimitris Giannoulis","74.7","42","2650"
"Giacomo Raspadori","68.3","28","1103"
"Goduine Koyalipou","69.8","10","885"
"Juan David Cabal","87.7","1","460"
"Jurri?n Timber","85.6","17","2417"
"Abdul Mumin","82.9","1","2017"
"J?rgen Strand Larsen","64.6","21","2587"
"Nicolas Cozza","77.7","7","2051"
"Jordan Ayew","74.3","16","1638"
"Tijjani Reijnders","87.5","47","3128"
"Leif Davis","71.6","61","2743"
"Haris Tabakovic","62.9","9","821"
"Mikel Vesga","79.6","12","988"
"Thierno Barry","62","23","2323"
"Daniel Mu?oz","75.7","46","3228"
"Ruben Vargas","83.7","6","305"
"Trevoh Chalobah","90","3","910"
"Antoniu","67","7","1022"
"Yann Karamoh","67","9","1046"
"Ben White","83.8","10","1198"
"Arthur Melo","92.4","5","941"
"Ludovic Blas","73.9","47","2293"
"Kenan Y?ld?z","79.7","57","2402"
"Issa Soumar?","61.2","28","1902"
"Cl?ment Akpa","82.5","8","2486"
"C?sar T?rrega","84.4","3","3026"
"Przemys?aw Frankowski","80.1","20","1387"
"Adrian Bernabe","83.6","22","1453"
"Daniele Ghilardi","78.4","6","2029"
"Carlos Augusto","88.3","9","1625"
"Stanley N'Soki","85.8","7","1308"
"Tim Drexler","85","1","357"
"Dennis Appiah","76.6","13","2128"
"Lilian Raolisoa","69.5","14","1318"
"Neco Williams","75.5","18","2594"
"Jaydee Canvot","86.2","4","1106"
"Ryan Christie","79.3","41","2117"
"Jesus Vazquez","77.2","3","919"
"K?vin Danois","81.5","25","1460"
"Stefan Bajcetic","71.8","7","969"
"Mattia Felici","67.9","10","925"
"Nico O?Reilly","86.4","4","528"
"Lucas Beraldo","94.4","8","2011"
"?scar Valent?n","82.9","13","1835"
"Ado Onaiwu","73.3","10","957"
"Santiago Mouri?o","78","7","1849"
"Takefusa Kubo","72.1","45","2372"
"Koni De Winter","86.6","3","2135"
"Mark McKenzie","86.1","4","2496"
"Jake O'Brien","79.6","6","1571"
"Matteo Prati","72","6","570"
"Youssef Maleh","71.1","12","1510"
"Selim Amallah","78.3","13","1376"
"Carl Johansson","87.9","6","568"
"Callum Hudson-Odoi","82","44","2194"
"Jacob Bruun Larsen","74.2","8","400"
"Antonino Gallo","66.2","44","2609"
"Corentin Tolisso","84.8","31","2329"
"Nick Woltemade","70.6","37","1622"
"Callum Wilson","75.5","3","370"
"Tyler Adams","84.4","18","1965"
"Angelo Stiller","87.4","59","2741"
"Ibrahima Sissoko","75","27","2610"
"Tymoteusz Puchacz","70.3","8","396"
"Faustino Anjorin","80.5","17","1114"
"Josip Juranovi?","64.5","27","1159"
"Josu? Casimir","68.7","26","1997"
"Martin D?bravka","79.6","0","900"
"Maarten Vandevoordt","78.9","0","429"
"Sa?l ??guez","78.3","22","1553"
"Falaye Sacko","83.6","7","1233"
"Lucas Perri","76.8","1","2970"
"Marvin Pieringer","65.8","30","2206"
"James Ward-Prowse","79.7","4","400"
"?scar Trejo","83.7","9","496"
"Alex Padilla","55.4","0","321"
"Souma?la Coulibaly","88.6","1","438"
"Gautier Lloris","87.2","5","2768"
"Santi Comesa?a","84.6","27","2560"
"Juli?n ?lvarez","74.2","41","2509"
"Alexander Schwolow","71.5","0","540"
"Alex Palmer","70.7","1","1170"
"Mateu Morey","77.2","4","741"
"Hamari Traor?","82.8","3","700"
"Kelvin Amian","80.1","13","2165"
"Tim Kleindienst","60.9","29","2737"
"Pavel Kade??bek","70.1","21","1576"
"Pau Cubars?","93.5","9","2618"
"Dara O'Shea","78.2","3","3122"
"Pasquale Mazzocchi","80.3","5","702"
"Alex Sola","64","9","1029"
"Louis Leroux","82.7","12","816"
"Arthur Theate","82.6","13","2704"
"Florian Grillitsch","82.8","8","623"
"Kaoru Mitoma","75.8","37","2603"
"Sheraldo Becker","63.9","8","995"
"Raoul Bellanova","77.3","34","2402"
"Ansgar Knauff","66.7","27","1597"
"Mihailo Risti?","77.6","4","429"
"Roberto F?rnandez","72.2","8","1497"
"Isco","81.6","61","1547"
"Pablo Mar?n","80.1","14","1239"
"Antony","81","36","1362"
"Kevin Akpoguma","87.1","7","2220"
"Jacob Ramsey","84.8","21","1623"
"Julian Brandt","78.8","61","2303"
"Saba Goglichidze","77.9","3","2539"
"Ondrej Duda","78.3","32","2395"
"Jens Cajuste","82.6","13","1959"
"Jesper Karlsson","69","10","495"
"Fermin L?pez","81.8","29","1252"
"Igor","91.9","2","961"
"Alejandro Balde","88","26","2284"
"Lewis Ferguson","86.5","14","983"
"David de Gea","73.2","3","3060"
"Philipp Hofmann","63.5","26","2277"
"Jeffrey Gouweleeuw","82.6","14","2944"
"Tanguy Nianzou","90.8","0","518"
"Murillo","78.5","13","3188"
"Benjamin Lecomte","67.6","3","2700"
"Koka","78.1","5","851"
"Amad Diallo","83.8","49","1901"
"Jofre","67","24","2165"
"Marco Asensio","86.9","16","618"
"Gerrit Holtmann","65.7","20","1136"
"Luca Mazzitelli","79.2","6","335"
"Carlos Alcaraz","80.6","13","764"
"Pablo Ib??ez","74.9","6","1294"
"Jarell Quansah","90.8","2","495"
"Sergi G?mez","88.9","0","664"
"?lex Moreno","72","8","955"
"?der Milit?o","89.3","6","938"
"Manu Morlanes","88.9","10","1338"
"Habib Diarra","83","27","2352"
"Baptiste Santamaria","82.6","9","927"
"Robin Hack","76.2","32","2172"
"Alejandro Garnacho","78.9","37","2199"
"Alessandro Deiola","73.4","6","1432"
